experimento,modelo,macro_f1,macro_f1_std,weighted_f1,mcc,mcc_std,accuracy,pos_f1,pos_precision,pos_recall,roc_auc,avg_precision,tempo_segundos,tempo_minutos,loss,sampler,macro_f1_str,tempo_str
H1_binario_focal_sampler_group,BERTimbau,0.6956196057194755,0.025784613302167175,0.9449952180559732,0.4141163491881599,0.05899432335565534,0.9391435130345824,0.42347652238992256,0.37094057258530944,0.5541528239202658,0.9085250108888175,0.4251059722298957,1410.2532648900014,23.504221081500024,focal,True,0.696 ± 0.026,23.5 min
H1_binario_focal_sampler,BERTimbau,0.6792671614993726,0.027031767254191607,0.944721736474939,0.3901960644780215,0.05140797377201339,0.9415134818380606,0.3895542468835378,0.4225991520447402,0.46566998892580286,0.8862340441927901,0.39380916508671604,1515.0675559579977,25.251125932633293,focal,True,0.679 ± 0.027,25.3 min
H1_binario_focal_sampler,mBERT,0.676277215154821,0.0197067850219818,0.9439068261584638,0.3643489922455792,0.03394770407389684,0.9399275567511445,0.3842045566961101,0.3631374121246498,0.4452934662236988,0.8920094530088853,0.35785634834157415,2052.471743891001,34.20786239818335,focal,True,0.676 ± 0.020,34.2 min
H1_binario_focal_sampler_group,mBERT,0.6746266139345212,0.033659158810370175,0.9419453367950755,0.3681726286646919,0.07020551727629744,0.9363617992834256,0.38290107356014147,0.33754042188868233,0.4925802879291251,0.8869074837979278,0.30932237167697296,1544.1621204190014,25.73603534031669,focal,True,0.675 ± 0.034,25.7 min
H1_binario,BERTimbau,0.66407404778929,0.035653360857128856,0.9496472196086009,0.33467523060747656,0.0684659990431898,0.9532117686850095,0.3524267325058331,0.41505870720553706,0.3128460686600222,0.9022676923666326,0.40088021848896205,2082.535885479,34.708931424650004,ce_weighted,False,0.664 ± 0.036,34.7 min
H1_binario_focal_sampler,RoBERTa,0.6265288013218597,0.0182776392687815,0.9288430520900652,0.2837811332219359,0.052147045179910326,0.9185117671118663,0.2966023257413196,0.2670329849012776,0.42691029900332217,0.8237979543261265,0.2603367135022293,1606.7177576370013,26.778629293950022,focal,True,0.627 ± 0.018,26.8 min
H2_fino_ofensivos,TF-IDF+LR,0.6185788934255547,0.019077885511022595,0.618617499697798,0.2487759112335406,0.04497608976326791,0.6209302325581396,0.6211038748433012,0.6600724637681159,0.5952569169960473,0.6632411067193676,0.6948044944709467,0.17191507100005765,0.002865251183334294,,,0.619 ± 0.019,0.2 s
H1_binario_focal_sampler_group,RoBERTa,0.6103809243080076,0.014550274828908891,0.9378813867772335,0.22683755048195006,0.02857607627060783,0.9383382649818145,0.25297019729804665,0.27033311051693404,0.25625692137320044,0.7946510037651311,0.2674365749630212,1657.7177783320003,27.628629638866673,focal,True,0.610 ± 0.015,27.6 min
H2_fino_ofensivos,mBERT,0.6073789501570838,0.06694576150715091,0.6110426960070292,0.2951880197080999,0.12177421060055658,0.6352159468438539,0.6877685575751378,0.6275837105578483,0.7956521739130435,0.6789328063241106,0.6965200101952005,108.6917778470006,1.8115296307833433,ce_weighted,False,0.607 ± 0.067,1.8 min
H1_binario,mBERT,0.6069085235795122,0.07229917110587948,0.9457255160357585,0.2358097192413983,0.13950555783557,0.9547955306998915,0.23715320441836546,0.3468156254749962,0.1945736434108527,0.7805788555751547,0.27172255063911727,2369.70934812,39.495155802,ce_weighted,False,0.607 ± 0.072,39.5 min
H1_binario_group,TF-IDF+LR,0.603633903767449,0.029766165842676995,0.9401341748273401,0.21203082886259178,0.06049400863847048,0.9438967701810533,0.23639690883141978,0.2805695611577964,0.208859357696567,0.8189474760936643,0.2294598165305068,6.041103925999778,0.10068506543332963,,,0.604 ± 0.030,6.0 s
H1_binario,TF-IDF+LR,0.5994184807996092,0.023689667904961083,0.9389176761820718,0.20143528593441382,0.04955881631168519,0.9421089165762109,0.2289135975211925,0.26269024785153816,0.20398671096345516,0.8112445966784076,0.20857931526148218,10.49079077700003,0.17484651295000048,,,0.599 ± 0.024,10.5 s
H2_fino_ofensivos,BERTimbau,0.5758042529132836,0.09636065934475117,0.5758554496183402,0.21928658951523877,0.13920502807729623,0.6021040974529347,0.5787953098554766,0.6217567049808429,0.6138339920948617,0.622094861660079,0.6697235575084216,73.94214324999939,1.2323690541666565,ce_weighted,False,0.576 ± 0.096,1.2 min
H2_fino_ofensivos,RoBERTa,0.5277323555627583,0.10426505137184804,0.5315110684092128,0.12211958435993069,0.19201586265132767,0.5590254706533776,0.6070853253383032,0.5734763379035825,0.6766798418972333,0.5761264822134387,0.637318593241001,79.05347829399943,1.3175579715666572,ce_weighted,False,0.528 ± 0.104,1.3 min
Cascade_H_focal_sampler_group,BERTimbau cascade,0.5095546493562001,0.018881478915197612,0.9382271929027002,0.3576196456724433,0.016715602143800905,0.9282321957949723,,,,,,1400.8994917610107,23.348324862683512,focal,True,0.510 ± 0.019,23.3 min
Flat3_focal_sampler,BERTimbau,0.49259380969588307,0.022476695044402764,0.9472038329041463,0.33385191785790946,0.03210634116791768,0.9510298189312063,,,,,,1513.8531412660013,25.23088568776669,focal,True,0.493 ± 0.022,25.2 min
Flat3_focal_sampler_group,BERTimbau,0.490621467309684,0.052045149220204215,0.9349584878222365,0.33253830792618994,0.055329254209850194,0.9246745228819924,,,,,,1410.3348676539972,23.50558112756662,focal,True,0.491 ± 0.052,23.5 min
H1_binario,RoBERTa,0.48931860701703506,0.00010242641294102823,0.9376990925400956,0.0,0.0,0.9581681532870828,0.0,0.0,0.0,0.6866535830142372,0.09884520221598114,1116.3115840719997,18.60519306786666,ce_weighted,False,0.489 ± 0.000,18.6 min
Flat3,BERTimbau,0.48581828406519545,0.007111746260572013,0.9441756285824127,0.3090834488334224,0.030833010652535194,0.9458777746314911,,,,,,2230.8767250599994,37.181278750999994,ce_weighted,False,0.486 ± 0.007,37.2 min
Cascade_H_focal_sampler,BERTimbau cascade,0.47633882170892505,0.06360059650897669,0.9366631458681175,0.33006176613486005,0.06333930428398543,0.9272438922711469,,,,,,1544.574055965997,25.74290093276662,focal,True,0.476 ± 0.064,25.7 min
Cascade_H_focal_sampler,mBERT cascade,0.47549464557532417,0.02729853014974195,0.9374889761803781,0.276005450718976,0.02403093958291784,0.9333848537763304,,,,,,2151.037049783001,35.85061749638335,focal,True,0.475 ± 0.027,35.9 min
